mu,sigma2,pi
-0.423648930193602,0.847297860387204,0.340096264705
-0.423648930193602,0.847297860387204,0.336584529280088
-0.41878907884961,1.01160091167848,0.379461637579034
-0.388102456824981,0.924420857957405,0.269324452473715
-0.3754768733933,0.590868331439527,0.283522242802361
-0.3754768733933,0.590868331439527,0.277785667774713
-0.375067055966778,0.441832752279039,0.228596841443397
-0.318080124593167,0.944461608840851,0.326939229083232
-0.309519604203112,0.619039208406224,0.220000621564707
-0.309519604203112,0.619039208406224,0.23182081025515
-0.268038395314676,0.844378150283869,0.34109273403914
-0.229354811313488,1.03407376753054,0.335681440819365
-0.225992561871529,0.451985123743057,0.229797504489936
-0.200297088936784,0.133531392624523,0.113904295458236
-0.198357645972529,0.544931236252502,0.284089584083602
-0.194341408671873,0.803961546900236,0.283048972982613
-0.149976082521798,1.11088238125992,0.343973590911351
-0.146686318769711,0.708651367095911,0.28535478081445
-0.146276501343189,0.559615787935423,0.230891005030714
-0.146276501343189,0.559615787935423,0.215844239574645
-0.130247712922522,0.911340226714299,0.286192699192909
-0.111571775657105,0.22314355131421,0.119947085398167
-0.105924772347725,0.340926586970593,0.172638980368633
-0.0940060609407975,0.603290851438084,0.276825548707906
-0.07136788850598,1.00430160919687,0.272648625245157
-0.0445120481690664,0.453667209926042,0.156678496690436
-0.0445120481690664,0.453667209926042,0.172971407390075
-0.0414438299028839,0.893817876022096,0.328810398557953
-0.00890191054397127,1.23007542822857,0.337474779106521
0.00336444150624873,0.495899973549315,0.225306488797136
0.00336444150624873,0.495899973549315,0.230225525925143
0.00336444150624873,0.495899973549315,0.217825011035821
0.00570745140764933,0.85015092936961,0.274492336847845
0.0189987813554767,0.612847238158302,0.276909067552935
0.0251822340501037,0.715620036412004,0.171782029793008
0.0251822340501037,0.715620036412004,0.165994039334093
0.087470724748166,0.635988766719997,0.120453570836886
0.0968682298046267,0.667829372575655,0.266696883253593
0.0972780472311487,0.518793793415167,0.226458012314813
0.137629776226612,0.300104592450338,0.160130391081578
0.137629776226612,0.300104592450338,0.168457367899378
0.140783735725963,0.431782416425538,0.233232211877194
0.150052296225169,0.510825623765991,0.108716492735791
0.156306457179531,0.739573277434497,0.282549680719131
0.163998102349243,0.437988299813725,0.166883378111074
0.163998102349243,0.437988299813725,0.165085265402325
0.192192935894574,0.863922746356839,0.158828684123295
0.21459081736274,0.510825623765991,0.155868890262504
0.21459081736274,0.510825623765991,0.165155141444892
0.240235272492227,1.21412517578995,0.324796539802694
0.25062808637492,0.885038188370051,0.282311836202422
0.261624071882274,0.287682072451781,0.106244197064788
0.26248262167008,0.446050388223243,0.10599872152038
0.280138269126406,0.688032079893175,0.172638124165746
0.281356513675002,0.377294231141468,0.157099066715144
0.314512619653795,0.490206336563255,0.117549963567416
0.318410499751863,0.303186258987746,0.172818601838142
0.32987015336497,0.440352367108605,0.173376578343768
0.331187760946596,0.723918839226699,0.100819728403921
0.344468500321369,0.826434402752294,0.159702385948893
0.346573590279973,0.693147180559945,0.227299726255398
0.34921512360786,0.437537827996159,0.0572922696780465
0.353229524215447,0.177206456127184,0.00823619424286298
0.359290403376436,0.381511867085672,0.163667243674366
0.362817969401155,0.245379692761091,0.118812004824645
0.366923229491868,0.538131074456258,0.00871484514581971
0.372220237473748,0.641853886172395,0.162121101168186
0.372220237473748,0.641853886172395,0.170530883494873
0.386925319275436,0.474457979595116,0.174714801241054
0.390079278774788,0.606135803570315,0.167276662685924
0.413069061078112,0.689233281238809,0.172699869989526
0.420757500990609,0.423530115505803,0.0539312348672241
0.431523108677671,0.523248143764548,0.112963147089734
0.455454715392385,1.11229239257219,0.106439071833679
0.470003629245736,0.44628710262842,0.117695604770734
0.475650632555115,0.564070138284803,0.161553201068115
0.475650632555115,0.564070138284803,0.156333048486772
0.475919370595993,0.582671564235349,0.285988430144664
0.48532810053088,0.665964445966143,0.164963074917269
0.490414626505863,0.405465108108164,0.113294342645315
0.490638472178188,0.283768173130645,0.0612026744153868
0.491479133362554,0.27425905211964,0.112145024098047
0.492131711271037,0.790342967459731,0.213553033809664
0.492601408392956,0.530168586609122,0.161168882332618
0.492601408392956,0.530168586609122,0.161788842650938
0.512732218778377,0.611156209471148,0.156097467276004
0.528895147073927,0.328504066972036,0.00881374888890423
0.536959838038869,0.312374685042152,0.171521317246572
0.538141160631163,0.698324068739479,0.212635083072327
0.560295341914828,0.609404191143553,0.115560768385195
0.562118418816617,0.383306767119526,0.118308470385392
0.569717141594182,0.693147180559945,0.101480679522698
0.569717141594182,0.693147180559945,0.107298855429991
0.572161377766421,0.379957348560952,0.2113284835431
0.572504794103269,0.491611058821365,0.169913613635457
0.59012813885431,0.65232518603969,0.118049532865231
0.597812934886285,0.534369005200639,0.105209224558632
0.607895135552491,0.27863853255546,0
0.610971589044972,0.508051696883266,0.102003765012474
0.616071840646316,0.154150679827258,0.00990080796922557
0.616221526008804,0.542163337984197,0.228455474943362
0.634141363954253,0.482654746799295,0.172147227752923
0.635043765093978,0.230523658611832,0.0544994176356639
0.657117680838897,0.397096858437648,0.0602976977307867
0.65949925483009,0.58295407006391,0.061665596981864
0.660367829581644,0.453870730838519,0.229058191054242
0.662458540722494,0.774727167552368,0.222027398795422
0.667089179990438,0.287682072451781,0.114683499129406
0.672322637859797,0.58551651636758,0.109296873166143
0.682527073675401,0.565107644736373,0.105936154869256
0.687244242764205,0.90438008084832,0.115141208610322
0.707779370751329,0.443513175745694,0.175697744831458
0.714278713726471,0.301437447520266,0.10281495018514
0.719205181129452,0.523248143764548,0.159983196000817
0.731203047140844,0.560795729075271,0.11801397829434
0.733715909628244,0.341480729197816,0.0586319143630616
0.739710169554687,0.579818495252942,0.165297997056801
0.753272459302911,0.651074404138037,0.0464736920824792
0.759031819375507,0.679160938585206,0.109747761178632
0.760462259028793,0.409237274029588,0.101494667071301
0.776599320506957,0.255713907440391,0.060123600097518
0.778767713867448,1.01817314887838,0.119805156481789
0.787081885839648,0.731195248197475,0.340733453972343
0.78862340355656,0.384411698910332,0.0110793322783895
0.789751898833178,0.47973503669596,0.16943682692127
0.799376506167042,0.362905493689369,0.0007827857601922
0.816571001747824,0.357714101370111,0.0498633739035628
0.821818721840477,0.646627164925052,0.222297586296473
0.829757131693625,0.49810505935661,0.0479366675607446
0.834934825809509,0.527354925717201,0.112599030735494
0.839526444123182,0.882814802677766,0.171985876583184
0.85518634031037,0.447246642123119,0.0516214188943669
0.862231808884172,0.177488961955746,0.0529933967170823
0.862619393443246,0.471985790449727,0.229567075563662
0.887243391146673,0.813355299684405,0.0562157521890528
0.895953047996039,0.444154653058344,0.0470940269142907
0.897941593205959,0.401341390924302,0.00662405791701749
0.900178158226787,0.607589292198299,0.167518119937709
0.907507934472475,0.297089479553676,0.10356147035394
0.912219483813949,0.416743423145871,0.171763071153608
0.920751518565725,0.394557711918972,0.0489482326273392
0.932819421913388,0.696228847097353,0.156025713920981
0.942648791819359,0.190677750064632,0.0504208571002405
0.943538500579251,0.453065504142007,0.00760421536811627
0.956958034329312,0.412385550952738,0.170270394526624
0.977229080871174,0.633383920235404,0.045134999606391
0.984084253000751,0.607540070611774,0.11813276570282
0.993607424156422,0.248845900737578,0.0530730458839848
0.993607424156422,0.248845900737578,0.0606883535006601
1.00765980021374,0.490206336563255,0.108216259210986
1.02615609606344,0.647541241771147,0.223135832193328
1.02822170937457,0.656439377191288,0.0589447472310211
1.03330644740752,0.438913042175704,0.115401989095994
1.0466405709486,0.412244795093543,0.10621322696061
1.04930337127289,0.544904937418853,0.118044711820698
1.05041787625961,0.331954896129769,0.121561870253283
1.07244382690968,0.682499016796647,0.0104110561169218
1.0883800127803,0.536122770379811,0.0657548542255122
1.10021038675698,0.375287803099323,0.104674072488734
1.10049220722574,0.321278021880297,0.0495995015054993
1.10490057640062,0.263724101496618,0.0104520414849278
1.10721023208154,0.494670861447532,0.116552452205411
1.10849922349845,0.434341031610019,0.0489166566317021
1.11298861352664,0.478808391835142,0.165558099380291
1.11549571990352,0.541597282432744,0.115626914318661
1.12121558508715,0.165514438477573,0
1.12416226287264,0.456461093143146,0.161359723447092
1.16295925966301,0.754971562568284,0.331138190749412
1.16905535425448,0.260455259751567,0.0063244696854148
1.20089028904972,0.25649131646044,0
1.22116635405412,0.273914260198147,0
1.22322262583005,0.616507490268668,0.104665519867149
1.22709953799092,0.25489224962879,0.100586023445997
1.22819788540356,0.590595194459635,0.0572924897724349
1.23146309437587,0.364460481864271,0.00257842392800376
1.23222004577643,0.429397874319793,0.112977746758248
1.23646591056705,0.178407657472818,0.0477454388762876
1.23939467623942,0.553905626257341,0.00739782189549878
1.24371829507474,0.10040549182828,0.0530038418061617
1.24741955093564,0.385884062909058,0
1.24901011047815,0.443683277339606,0.0493510344172414
1.25737980646884,0.2578291093021,0.0572868152024742
1.25957959532806,0.0794067776044106,0.00686427408372983
1.26788949008088,0.683096844706444,0.112978555816143
1.2690679538123,0.342587257155734,0.000251347869029269
1.27343500226377,0.786322648020554,0.0483313661907386
1.27535798902951,0.432593775496417,0
1.27535798902951,0.432593775496417,0
1.27659225794098,0.379489621704904,0
1.2797233702046,0.271117055577086,0.0573613051327929
1.28094272471582,0.15099734650877,0.0507715917094662
1.29169624960636,0.297330665567613,0.00733573259711266
1.29296317002934,0.511700241176651,0.0459563080613088
1.2996296571809,0.294578651510841,0.112909740197343
1.30104231611244,0.27863853255546,0.00687100733038969
1.31966835721397,0.407654250838817,0.0665856163549289
1.3209885198593,0.438913042175704,0.000535325866984203
1.322921718571,0.386851541594175,0
1.32339971781476,0.400191529637227,0.0661231156123388
1.32914730942956,0.873273346790464,0.280495927300609
1.3359260755521,0.725485941219883,0.158399846822831
1.33792409299721,0.1515384846216,0
1.33792409299721,0.1515384846216,0
1.34027812383318,0.200166917113965,0
1.34596741219113,0.24073931320459,0
1.35962006211543,0.523027780163717,0.0548865174088213
1.36023636055038,0.287682072451781,0.103347357771416
1.36488755688154,0.278379679789468,0.120217154067579
1.36825930103218,0.258521390395861,0.0621797747610654
1.37591648298167,0.756205316527082,0
1.37603559764012,0.421858917883841,0
1.3766130990903,0.279468780555581,0.00234160502292216
1.37686849537061,0.787675129319217,0.116354375960223
1.38067816213192,0.271338654472331,0.00929868891625665
1.38085564775312,0.554744857700826,0.111643945292114
1.38709500180338,0.444685821261446,0.000587119905464352
1.39340634242968,0.721225597631056,0
1.39987009516404,0.589451251220727,0.00331787156746723
1.40404548477275,0.581100472003307,0.00168851965921931
1.40408771071379,0.539777445715758,0.164573742846043
1.40624502064295,0.520702611262201,0.0649921902540192
1.40836242605927,0.560425613867115,0.0581844671855267
1.41817781654951,0.291595443615666,0.00835524972290732
1.426941386258,0.57571408366785,0.00509559941422194
1.42736267467016,0.319204763823757,0.00318379988791421
1.4317675519713,0.355340720925596,0.000417131371004506
1.43208107546863,0.643876131553163,0
1.43760194034193,0.298726232480217,0
1.43795919390542,0.412328553033147,0.054606773280311
1.44626827440821,0.729818561353887,0.0643137215685151
1.446413115585,0.254185575246081,0.0528680627966351
1.45122742850747,0.595944852603583,0.10740442077444
1.45613368472925,0.168622712435793,0.00194669568515383
1.46272129107763,0.582595700335149,0.0082228768188972
1.46964136868419,0.234647375795694,0.0098724460566882
1.47357027499845,0.677616962864681,0.116259582354884
1.47570195776616,0.412113232495138,0.112526817591452
1.47816367962627,0.124562722641762,0.00493130006203428
1.48826670519836,0.492668700379501,0.000162788960197941
1.49022568060601,0.352741291336082,0.0461121424606122
1.49315977823427,0.276514081837221,0
1.50052544756662,0.194156014440957,0.0644151774626743
1.52318374299469,0.759602722687174,0.0470181136766035
1.52762144702924,0.486169226001973,0.114500064735637
1.52961641263482,0.560984390522864,0.0012282888748683
1.52974175410363,0.675050535265139,0.053842027088027
1.54103446362219,0.2237771215033,0.00149136858992279
1.54449955121125,0.576163825074126,0.117010981304162
1.54814994057426,0.574189281187071,0.159937582753009
1.55127128854492,0.366659533686369,0
1.55549884054868,0.318599175086502,0
1.5569659445478,0.202524264111474,0.111832595252489
1.56146514762874,0.589665685473766,0.16592711617245
1.56437203290725,0.17710198293317,0
1.5735879104865,0.933265836080117,0.280201789280286
1.57770256865108,0.736415160808461,0
1.57825063598111,0.427017666493899,0.0560300898958981
1.59130794102789,0.325422400434628,0.00200130159859545
1.59837298168005,0.386772975096012,0.10206029120694
1.60655028982293,0.407116636146638,0.0001140582814347
1.61373633604686,0.202124184090134,0
1.61664737846371,0.815468772066206,0.227959402226445
1.62088482236703,0.341749293722057,0
1.62218153131741,0.416088437476892,0.0559294007423386
1.62343054425872,0.299273583914357,0.00338778383843601
1.63458037097767,0.200041368820864,0.00160359326661564
1.63498788663863,0.456461093143146,0.00860870553804561
1.64034036837862,0.26545393567457,0.00156755536263809
1.64330628442643,0.605207729257762,0.120245431733188
1.64597865622712,0.489743431290332,0.119167463666025
1.64869972064408,0.437134602184243,0.0518196587747015
1.65666539539409,0.378322590208481,0
1.65856653836896,0.374520304258743,0
1.66603464053599,0.43850177340577,0.0606708227327145
1.66904087367404,0.456158222423682,0.157109196499797
1.67253851911832,0.315374461875061,0.0588040856884379
1.67307701047686,0.424417033524031,0.0484061924264818
1.68097579593317,0.335884174269659,0.0564277150353934
1.68196261912234,0.327728142751984,0.00405643200650811
1.68485123560841,0.356734395203576,0
1.6852188480519,0.0987644146724123,0
1.69151878798722,0.50878272213619,0.118845694664038
1.69421932920974,0.856788768670602,0.0450834654985513
1.69514341493747,0.229930385917556,0
1.69767611906073,0.558973146997373,0
1.69819122419603,0.295270932604602,0.00639840049194172
1.70186366101181,0.570409121074015,0.0508170947059109
1.71114283766335,0.383684533349867,0.0522848821677319
1.71688597090734,0.186445273977817,0.00709881938137114
1.72346070893822,0.461635379575219,0.054585679212078
1.72530491767507,0.205644391447718,0
1.72563774753643,0.309350238066143,0
1.72959866298007,0.335042643811618,0.16188490929512
1.73862227980373,0.328725649069109,0.0450797695141337
1.73933637763193,0.291898299213895,0.059057460373459
1.74353548391634,0.340227605841508,0
1.74510865311693,0.471785631499304,0.100518608934396
1.74781974933383,0.427677513379248,0
1.75078517790447,0.29266961396282,0.000665629828954115
1.75334446310277,0.353130689212203,0
1.76020165207102,0.273836665629728,0.000742715488839894
1.76688653864263,0.481163006824236,0.00945540461833589
1.7682129474536,0.508140360772576,0
1.76915477067719,0.824138930625174,0.217156177115135
1.77024003232098,0.55869709241835,0.0559506217727955
1.77174062571229,0.250758718347183,0
1.7729587255769,0.345902846956821,0.108249523230978
1.77958232068623,0.51459921314963,0.0100276783791371
1.78549158569382,0.303959389431266,0.0553912664118275
1.78707583660464,0.463482166517518,0.056957878228515
1.78913486498426,0.281549885449219,0.00612934895725921
1.79116630710311,0.794949053083438,0.276719278504213
1.8027775021584,0.400582121473729,0.0575202646542858
1.80388020141457,0.186479566942618,0.0100526326510124
1.80463681372432,0.435292628231142,0
1.81020088072399,0.140223971691021,0.000904040679987519
1.81211616817585,0.102204530068695,0
1.81225442668293,0.390427230743624,0.00217184594362043
1.82151538533773,0.60219665641463,0.0605041183656599
1.82941064588625,0.440355865287803,0.061471354651596
1.83344428295611,0.192931049505519,0
1.84013043923571,0.450649720938766,0.010929429893475
1.84077250250827,0.356088834710271,0.0641008567078556
1.84493997722376,0.104360015324243,0.00953850277145393
1.84815813461236,0.434594330185468,0.00519897296363488
1.84903656305197,0.547154300986148,0.0570426368664071
1.8627254913143,0.712955985481384,0.170011877486451
1.86334695734137,0.196623097364159,0
1.86448064519579,0.162859007719043,0
1.86486905747482,0.333126530037303,0.108665457576105
1.87184913628176,0.241162056816888,0
1.87452828016422,0.437413167295902,0
1.87749481542958,0.199335754259685,0
1.88303459376896,0.736514409675075,0.116099781919933
1.88797367072711,0.517214347580705,0.00163725738069043
1.89017799975739,0.111464298595844,0
1.89163546920059,0.375612144958483,0.0658854952630639
1.8918608102419,0.290042234038273,0
1.8946725479094,0.225590988290689,0.0100452929029707
1.89682852010636,0.39281268741162,0
1.90228513806695,0.40911075560201,0
1.9059271170358,0.678999124236599,0.00975015914691612
1.9108843925029,0.222797470673967,0.0019181198601611
1.91117380601335,0.809313027461427,0.174980433546534
1.91423166896643,0.358006389691492,0.000859618653450162
1.92595191233811,0.415113701223996,0
1.92627072186615,0.850209070594662,0.11660610580138
1.9329742396564,0.322132202889174,0.0474334444820933
1.93536087575627,0.228455405547773,0.0601885077525913
1.93842018215748,0.309629363309386,0.00694851511395536
1.94900953132607,0.204522266774147,0.00276093299081549
1.94927459056156,0.495899973549315,0.107772720570919
1.95479444137261,0.276880844879123,0.00764400540045462
1.95503370058415,0.192473928257973,0
1.96640915287073,0.255262376460517,0.0526284365548338
1.96710976791262,0.306307536574946,0
1.98850460895518,0.871554838032763,0.0540426450794149
2.00248648709791,0.48588038411238,0.00262142475089058
2.00359183141677,0.206497368902357,0
2.00375620064535,0.233014671109473,0.000546242679934949
2.02005444779094,0.354340259090569,0
2.02065109932558,0.303144351610439,0.00344110989016481
2.02329049870211,0.246580691630707,0
2.05184270784163,0.290763738989189,0.00271721404544078
2.06075024525672,0.206497368902357,0.0620844503365043
2.06985277464303,0.20474100097555,0.00475271965381689
2.07029975811431,0.178368982478131,0.0013071161496453
2.07643658123958,0.517876669154916,0
2.08144830346125,0.374470475714224,0.00422100176140666
2.08381474393177,0.459640370497724,0
2.08562286713164,0.2959387087509,0
2.08909397149059,0.216261211691268,0.00774783869753592
2.09135779379108,0.354651495054566,0
2.09375082583551,0.661062404272113,0.0585117282353859
2.09392481187201,0.156596926517589,0.00252698944956064
2.09800781270945,0.950904468840001,0
2.10829097411393,0.624154309072994,0.105821354202797
2.11166934277816,0.267514672751884,0.00815994255468249
2.11350544414539,0.40025897007049,0.000176500539248808
2.11563536266658,0.202014601053479,0.0532004165084153
2.11593517803986,0.235314086934465,0.00952600223617628
2.11748661619283,0.322575656215,0.0644377344626054
2.12050270846966,0.202226643981446,0.0060248796033673
2.12306455882419,0.381140740712883,0.0105604124397039
2.12646845492877,0.960656024936538,0
2.13536975017321,0.123709654326023,0
2.13715189959366,0.459943429075905,0.0064431397147011
2.1408540151566,0.410432379554372,0.010873540221015
2.14146738672012,0.111514381232205,0
2.14638676458744,0.42053109935377,0.0018208069620654
2.15131634775067,0.324637162859926,0
2.15301580157898,0.208213834676615,0
2.15306354431725,0.529664790375585,0.00455848155682907
2.15884553618307,0.846106759184487,0.00855878970623016
2.16149480586852,0.328694298579591,0.0616907327420596
2.1764039257917,0.40216495075093,0.0057836698718369
2.1785413638332,0.225740857125442,0
2.18052945216114,0.082173156598472,0
2.18209529425038,0.263079269860493,0
2.1839231641724,0.762052386578269,0
2.18469252238208,0.466406834245929,0
2.19007733244613,0.913770353352488,0
2.19373604528345,0.149894992069835,0
2.19671388269823,0.61308381151594,0
2.20285214016485,0.545504233921679,0.00279445740664378
2.21931085825635,0.83949294271782,0.00829713771273382
