OTUid	2_GRh5	2_RR1	2_GRh3	2_SR4	2_GRh2	2_SRh4	2_RR5	2_soil3	2_SRh5	2_RRh3	2_soil2	2_RR3	2_RR4	2_SR3	2_RR2	2_SR6	2_soil6	2_SRh3	2_RRh4	2_soil4	2_GR5	2_soil1	2_RRh5	2_soil5	2_NR3	2_NRh3	2_SR5	2_SR2	2_RRh1	2_NR1	2_NR5	2_RR6	2_NRh1	2_GR4	2_RRh2	2_RRh6	2_SRh6	2_NRh6	2_GRh1	2_GRh6	2_SRh2	2_NRh5	2_NRh4	2_GRh4	2_NR4	2_GR6	2_NR2	2_GR1	2_SRh1	2_SR1	2_NR6	2_GR2	2_NRh2	2_GR3	3_SRh7	3_GRh2	3_CRh6	3_SRh5	3_GR7	3_GRh1	3_NR6	3_S7	3_RRh4	3_RR8	3_NR5	3_CR7	3_S2	3_SRh8	3_CRh8	3_SR3	3_NR8	3_S4	3_GRh5	3_SRh2	3_NRh6	3_RRh3	3_GRh7	3_SRh1	3_NR1	3_SRh4	3_SRh6	3_CRh3	3_SR1	3_S8	3_GR6	3_NR3	3_S3	3_NRh3	3_GRh4	3_S1	3_RRh5	3_GRh3	3_CRh7	3_RRh6	3_RR6	3_S5	3_NRh4	3_SR7	3_GR8	3_GR5	3_GR1	3_CRh1	3_GR3	3_SR4	3_NR7	3_CRh5	3_CRh4	3_NRh1	3_GRh8	3_NRh2	3_RR7	3_SR6	3_RRh2	3_SR2	3_SRh3	3_S6	3_NRh8	3_GRh6	3_CRh2	3_RR5	3_CR4	3_GR4	3_RRh8	3_RR3	3_CR2	3_CR1	3_NR2	3_RR1	3_SR5	3_RRh7	3_NR4	3_RR2	3_RR4	3_RRh1	3_CR3	3_NRh5	3_CR5	3_CR6	3_SR8	3_CR8	3_NRh7	3_GR2	4_CR6	4_SR7	4_GR1	4_CRh8	4_NRh1	4_CRh4	4_NR4	4_NRh5	4_RRh1	4_SR4	4_SR6	4_NRh4	4_NRh2	4_RRh4	4_SRh7	4_RR8	4_S3	4_CRh5	4_SR2	4_RRh2	4_GR3	4_S5	4_GRh1	4_CRh6	4_GRh7	4_S2	4_NRh3	4_S4	4_GRh6	4_GRh5	4_RRh8	4_SR5	4_SR1	4_S1	4_CR3	4_SR8	4_CR7	4_GR2	4_SRh1	4_CRh1	4_SR3	4_RRh6	4_GR4	4_NR5	4_CRh7	4_CR2	4_CRh3	4_RRh5	4_RRh7	4_CR1	4_RR3	4_RR5	4_SRh2	4_GR6	4_SRh3	4_SRh5	4_RRh3	4_NR2	4_RR4	4_GRh4	4_S6	4_SRh6	4_NR1	4_SRh8	4_GRh2	4_GRh3	4_RR2	4_CR4	4_S7	4_GR5	4_S8	4_RR7	4_RR6	4_SRh4	4_RR1	4_GR7	4_NR3	4_CRh2	4_CR5	4_CR8
OTU_57	2020	5530	989	2152	667	7043	2230	997	5649	2547	1153	1386	2001	3298	4122	6201	1270	7896	4920	1135	2400	2293	5410	644	1555	1927	6357	1641	3535	583	436	2735	1040	1453	5988	2356	5056	1736	1117	622	2873	2358	1600	1424	623	356	897	555	1163	762	553	332	1317	290	1736	1007	929	2659	37	2846	54	32	482	179	124	299	70	1429	888	562	479	94	1754	1222	97	805	579	356	33	2498	1433	604	1445	60	203	77	118	104	687	88	458	909	1278	410	184	81	136	188	246	240	884	988	79	443	496	1397	676	141	1196	104	440	227	1075	326	1334	46	233	913	1044	144	122	147	557	189	141	133	69	437	1235	496	118	136	458	794	330	143	123	156	171	159	315	127	517	466	259	3104	2025	1196	181	1274	2131	1512	954	786	1863	858	826	280	39	1115	548	4304	256	37	168	2493	2301	52	762	66	1509	508	782	769	647	59	366	1326	348	336	1127	106	991	857	199	238	2009	721	764	604	869	850	63	54	761	108	460	176	632	82	81	1400	18	301	95	810	75	187	188	171	16	188	47	76	270	199	84	416	117	447	151	441
OTU_10	82	12144	94	7065	95	719	2418	93	724	366	81	5782	2529	9902	5188	15161	78	944	158	65	2073	78	342	103	2780	176	18034	6466	402	2763	1183	4987	134	3212	226	479	573	458	230	110	1227	334	296	489	2335	1207	3355	1259	455	4382	1860	684	182	1148	886	408	342	376	133	505	345	22	90	1957	578	1811	172	880	333	4549	3446	35	383	463	41	96	179	134	342	575	821	351	8163	20	2086	1118	80	53	247	73	144	278	384	61	1849	39	40	2075	974	995	1565	615	923	1681	1939	646	397	42	258	62	2666	2169	169	3906	514	34	89	456	494	1383	965	988	102	689	1498	876	677	1467	3680	102	813	992	1384	126	1459	90	1506	801	1041	1516	71	718	702	1629	866	261	450	219	608	273	884	1900	1998	283	239	577	107	712	56	144	966	397	649	22	68	325	628	15	260	33	536	660	231	6179	664	36	1048	788	682	447	50	116	1529	425	478	572	239	2021	92	373	257	1214	548	506	60	372	41	71	477	391	380	231	21	47	372	67	162	153	342	502	13	510	49	161	344	37	234	433	709	123	557	312
OTU_205	75	61	125	38	47	754	12	281	292	249	332	15	9	42	25	43	305	890	161	400	7	364	212	283	21	87	0	34	245	7	3	6	67	10	338	144	229	270	140	86	585	82	137	131	7	3	5	0	89	15	10	0	66	0	70	29	30	57	3	71	0	64	7	1	2	1	142	64	32	4	10	108	25	31	8	13	23	32	4	70	100	46	10	47	0	5	97	13	25	127	7	27	60	2	1	140	19	1	1	4	0	64	0	4	4	63	50	28	27	22	0	7	13	3	45	202	32	22	58	0	1	0	7	0	7	3	5	0	3	4	0	3	0	13	4	11	1	2	4	1	12	3	1	11	0	49	99	34	3	52	68	3	5	154	42	45	30	0	27	12	1	55	3	41	6	165	174	32	147	109	140	102	28	8	0	79	0	34	0	0	3	16	4	42	1	0	32	2	31	82	59	7	0	0	4	0	2	2	62	0	0	17	20	10	3	25	16	7	3	2	32	0	45	2	0	25	1	3	9	31	1	1
OTU_466	837	8062	370	2130	590	1366	2479	1572	1096	1514	1666	2914	4519	4458	3648	4314	1249	1903	1488	885	2081	3287	1780	1030	878	494	4202	1123	1413	937	281	2275	436	1228	1714	694	692	584	745	358	805	757	540	680	494	547	510	605	455	782	380	386	266	518	220	82	117	324	0	260	13	5	43	10	27	34	3	250	99	102	62	141	69	93	13	21	51	37	14	196	293	102	217	93	16	54	29	48	83	8	41	131	114	18	7	11	21	35	15	1	28	109	38	59	62	172	75	39	115	36	18	41	111	67	156	136	53	176	169	6	8	1	31	10	23	19	18	10	51	14	22	15	10	45	17	18	19	20	40	20	36	2	86	49	17	1013	182	120	13	440	64	615	138	54	264	129	22	9	4	126	55	200	54	4	49	284	264	144	19	11	99	103	108	128	204	4	42	131	247	19	204	14	197	525	4	35	831	107	115	118	43	36	5	9	79	4	103	18	86	32	22	125	6	35	37	72	30	91	11	18	1	3	2	5	23	104	8	5	4	73	20	110
OTU_5032	83	147	185	5	404	85	13	33	297	1341	25	112	39	6	15	26	10	93	763	29	7	26	250	15	19	80	289	11	1615	4	3	70	29	26	242	733	75	82	777	170	51	20	49	836	5	13	49	22	32	9	4	3	105	1	177	499	76	85	2	289	7	22	98	22	22	12	59	178	94	100	42	50	717	89	15	342	80	39	7	187	617	92	96	27	14	11	86	22	423	33	70	330	79	79	86	44	43	23	6	13	33	128	166	26	39	99	71	12	315	36	62	444	111	92	84	14	16	147	103	18	18	2	323	24	24	22	20	38	42	263	24	25	12	292	29	39	3	14	42	24	24	15	19	32	17	45	77	17	11	96	280	29	32	60	84	565	10	5	19	53	18	714	9	21	20	55	134	25	91	36	219	100	107	119	11	40	5	9	21	13	21	11	21	139	15	6	114	38	29	150	89	19	2	1	25	1	12	24	145	5	2	141	10	12	13	7	54	68	15	4	6	11	12	1	17	6	1	11	13	20	10	8
OTU_2773	273	382	359	117	235	1004	81	76	954	1029	84	195	103	171	291	440	46	1001	753	106	79	104	844	65	57	292	513	205	1120	67	29	171	202	83	1296	743	951	278	371	286	659	437	325	618	57	41	91	42	424	141	49	26	239	48	1376	879	536	755	255	763	66	275	229	108	38	39	726	1067	647	268	182	553	768	583	77	332	307	261	13	997	1141	574	273	340	79	23	366	160	843	607	186	534	541	158	104	480	120	148	24	44	73	821	165	109	109	652	578	216	402	229	190	145	439	221	672	375	274	604	668	68	64	56	476	38	85	58	27	74	201	279	48	61	104	432	79	123	38	39	52	87	235	104	150	205	47	687	1909	544	26	930	2859	320	147	844	941	1875	244	61	461	333	68	1782	42	367	240	680	1831	352	602	533	2134	1842	813	369	78	396	118	117	132	39	158	253	143	1422	69	54	678	159	335	1385	615	186	63	67	142	103	89	160	1969	25	117	618	173	111	150	102	435	333	76	41	160	52	199	45	74	99	73	69	47	235	57	83
OTU_7	3411	7564	1362	1479	1252	12693	4284	674	5416	9976	724	3338	1918	3686	10957	5366	541	12447	6776	690	1201	880	12631	580	1337	2568	2779	864	4972	924	281	3195	1409	2777	19246	4995	4952	3936	2685	1237	4642	2491	2670	2035	464	205	818	656	2051	961	411	391	1021	159	2675	2307	3497	2293	155	4092	284	110	912	2563	1050	1716	263	4163	2271	8209	1113	191	1673	2387	113	706	916	507	199	5907	10623	2014	3320	106	316	734	135	170	1198	196	525	1293	4112	290	1625	237	334	1122	506	1367	1390	2827	496	2979	7598	5710	2559	261	1128	172	1682	4734	938	3260	5013	83	280	1058	5819	1130	1751	669	652	739	1699	622	257	1504	2377	525	413	447	638	886	849	246	634	735	946	1047	592	767	1703	1978	371	4076	2554	1297	484	2033	3624	5672	3448	1150	1284	2885	553	265	111	2400	2074	3442	355	114	181	3369	2825	121	981	160	1714	1393	1048	3618	703	124	968	1735	672	927	855	753	4855	2516	357	452	2685	1336	1197	2412	1351	7592	347	233	1642	340	969	339	2307	251	123	1621	49	351	513	592	647	411	388	560	43	502	49	137	390	568	233	354	334	2689	547	674
OTU_129	15	21	33	0	23	107	0	1292	111	57	1340	1	1	12	1	1	1015	120	40	1223	1	1361	62	894	0	34	0	3	63	2	0	0	27	1	174	32	71	28	69	39	99	32	33	56	1	0	0	0	20	0	5	0	30	0	187	22	45	88	0	38	0	133	7	0	1	0	223	105	33	6	8	218	33	46	3	16	10	49	0	82	169	69	11	133	0	0	326	20	21	198	13	20	33	2	0	219	9	4	1	0	0	160	0	3	3	75	63	34	33	22	0	4	20	6	71	141	26	20	80	0	1	0	10	2	2	0	0	3	4	14	0	0	2	15	0	13	0	3	3	1	21	0	3	8	1	66	167	55	0	45	129	4	11	69	117	102	25	2	136	33	4	86	0	115	19	88	55	148	171	182	41	30	34	4	0	194	1	3	0	1	4	28	8	49	0	0	63	5	51	70	73	8	1	0	7	0	15	59	154	1	2	24	51	12	1	12	25	22	1	1	60	2	63	1	2	8	0	1	7	30	0	0
OTU_24	288	98	235	144	192	1898	32	956	2528	1570	757	115	62	30	78	259	904	806	792	808	24	768	617	461	44	620	290	0	1656	36	18	107	356	50	1673	817	1606	982	634	346	961	601	714	777	70	17	53	29	506	57	21	0	340	0	4765	3739	1545	2180	1	2498	12	343	730	37	237	23	635	4568	1739	390	472	440	2609	2327	314	786	1043	1124	94	4194	4243	2347	1034	261	88	145	731	623	1790	376	532	1581	1358	357	227	307	535	183	46	70	73	3646	46	263	251	2033	2607	612	1403	458	120	206	1131	350	1978	385	487	1754	3068	59	148	43	692	28	320	118	51	94	143	770	119	138	144	689	391	651	22	69	225	120	667	36	124	574	215	2166	2809	973	64	2930	2637	407	583	2885	2665	3165	615	82	224	851	144	4066	145	236	470	2102	2505	236	1909	286	2882	1899	995	607	106	419	102	442	175	29	692	460	102	1831	99	75	2985	314	602	2047	1180	448	104	30	612	40	435	329	2189	58	142	1707	171	246	150	514	685	894	63	80	197	61	118	43	48	329	40	116	121	635	100	79
OTU_6	910	1829	1004	761	580	7004	220	5954	6688	4535	5309	568	411	1081	774	2168	4318	3645	2091	5287	223	4417	2358	3481	439	2290	2152	344	6511	225	82	560	1066	231	5926	2849	5430	3473	2718	1041	3918	2436	2506	2265	280	122	602	364	2320	391	174	369	1343	103	24875	13532	6866	7636	126	10310	200	905	2864	359	2607	224	2009	19310	8221	3091	3382	1438	11390	10304	1051	3277	3942	4208	566	18902	19471	9564	5669	961	489	1521	2325	2374	8529	1588	2254	5425	5526	1142	321	1141	2122	2140	324	389	500	15607	152	2078	1676	8752	11094	2338	5524	2356	697	1864	4686	3487	9036	1320	1673	7159	12602	268	1157	268	2728	138	1460	1317	820	356	1407	3205	1045	661	761	2838	2138	2593	195	549	2029	741	2429	319	1163	2629	889	7125	10805	4569	654	10226	9267	2484	3608	10934	9031	10436	2316	673	797	3769	1140	15450	858	792	2086	7892	8429	759	5637	812	8813	5541	2998	7380	889	942	718	1927	1070	290	2557	1884	1508	7466	479	696	8189	2289	2464	7574	4116	1510	386	194	2436	133	1882	1439	8349	371	102	7669	777	1045	807	1406	2644	4668	539	382	460	361	416	165	299	1185	213	403	803	2757	722	545
