OTUid	1_NR_6	1_NR_5	1_NRh_6	1_NRh_5	1_soil_2	1_NRh_3	1_RRh_4	1_GR_6	1_SRh_6	1_GRh_4	1_GR_3	1_SR_5	1_RRh_3	1_GR_2	1_GR_4	1_GR_1	1_GRh_6	1_RRh_2	1_RRh_6	1_NRh_4	1_SRh_4	1_RR_2	1_NR_4	1_SRh_3	1_SRh_1	1_NR_1	1_GRh_3	1_soil_4	1_SRh_2	1_SRh_5	1_NRh_2	1_soil_1	1_soil_5	1_RR_5	1_GRh_5	1_GRh_2	1_SR_6	1_NRh_1	1_RRh_5	1_RR_6	1_NR_3	1_soil_3	1_soil_6	1_GR_5	1_RR_4	1_RR_3	1_RRh_1	1_SR_1	1_SR_3	1_GRh_1	1_RR_1	1_SR_4	2_NR_4	2_NR_2	2_soil_6	2_GR_1	2_soil_4	2_soil_1	2_SRh_3	2_soil_3	2_GRh_5	2_NRh_2	2_GRh_3	2_NR_1	2_RRh_2	2_GR_6	2_GR_3	2_GRh_4	2_NRh_4	2_GRh_6	2_NRh_6	2_soil_2	2_SRh_1	2_GR_5	2_SRh_5	2_soil_5	2_GRh_1	2_NRh_3	2_NRh_5	2_RRh_4	2_RRh_5	2_GR_4	2_RR_4	2_SRh_2	2_SRh_6	2_NRh_1	2_NR_5	2_SRh_4	2_GRh_2	2_NR_6	2_RRh_3	2_SR_4	2_RRh_6	2_SR_6	2_RR_6	2_SR_3	2_SR_1	2_RR_3	2_SR_2	2_GR_2	2_RR_5	2_RR_2	2_NR_3	2_RRh_1	2_RR_1	2_SR_5	3_NR1	3_RRh3	3_NR8	3_GR4	3_NR7	3_GR8	3_RRh5	3_CRh2	3_GR3	3_GRh2	3_NR3	3_S5	3_S2	3_S6	3_NRh5	3_GR6	3_GRh4	3_NRh7	3_S1	3_NRh4	3_S7	3_SRh5	3_NR5	3_NR2	3_GR5	3_CRh8	3_NR4	3_CR1	3_SRh2	3_RR7	3_RRh4	3_RRh7	3_S8	3_NRh1	3_GRh5	3_CRh5	3_SR4	3_SRh4	3_NR6	3_SRh3	3_SR3	3_GR7	3_CR2	3_SRh8	3_CR3	3_GRh8	3_S4	3_CRh6	3_CRh7	3_GR1	3_S3	3_CRh3	3_NRh2	3_GR2	3_CRh4	3_NRh8	3_GRh7	3_GRh3	3_GRh1	3_RRh1	3_SRh1	3_SRh6	3_CRh1	3_NRh3	3_NRh6	3_RRh8	3_SRh7	3_CR5	3_SR6	3_RRh2	3_RR3	3_GRh6	3_RR8	3_RR2	3_RR5	3_CR6	3_CR4	3_SR8	3_SR7	3_RR4	3_SR2	3_RRh6	3_RR1	3_CR8	3_SR1	3_RR6	3_CR7	3_SR5	4_SRh7	4_NRh3	4_NRh2	4_GR1	4_GR3	4_CR8	4_NR4	4_SR1	4_GR5	4_NRh5	4_SRh1	4_GR4	4_S8	4_S1	4_NR2	4_CR7	4_S7	4_S2	4_RR6	4_NR1	4_NRh4	4_CRh1	4_S4	4_S5	4_CR6	4_SR7	4_S6	4_SRh5	4_CR1	4_SRh8	4_SRh3	4_NRh1	4_GR6	4_CRh8	4_NR5	4_SR3	4_RR3	4_S3	4_CR5	4_CRh3	4_GRh7	4_SRh4	4_CRh5	4_CRh4	4_RRh4	4_SRh6	4_NR3	4_RR5	4_SRh2	4_GRh2	4_GR2	4_SR2	4_RR2	4_RRh1	4_RRh8	4_RRh3	4_GRh3	4_GRh4	4_RR8	4_SR8	4_GRh1	4_CRh2	4_SR4	4_CRh7	4_GR7	4_RR1	4_RRh6	4_GRh6	4_CRh6	4_RRh5	4_RRh7	4_GRh5	4_CR4	4_RRh2	4_SR5	4_RR7	4_CR2	4_RR4	4_SR6	4_CR3
OTU_107	1679	0	251	0	1	0	0	1	0	56	0	0	0	0	110	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	2	0	0	2	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	15	4	58	7	0	0	2	79	1	0	1	0	8	6	0	1	0	2	0	0	14	362	0	1	113	1	0	0	0	0	0	19	0	0	0	0	4100	0	0	1	1	0	0	1	0	0	0	774	1	0	30	30	0	6	2	1	292	2	2	1	1	0	1740	0	1	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	1	1	1	0	0	0	1	26	50	711	0	0	1	0	3	0	0	43	0	0	7	0	13	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	34	0	0	0	0	1	1	1	0	0	1	0	1	0	229	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU_90	1	463	2	348	0	13	0	0	28	0	0	18	0	0	0	1	10	8	0	0	12	4	0	0	0	0	0	0	0	0	2	0	11	0	16	2	6	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	213	0	0	0	0	0	38	0	0	5	0	0	4	0	0	1	0	0	0	0	0	0	0	1	50	0	0	0	0	35	2	0	0	3	0	0	0	11	0	8	16	0	49	0	40	0	0	0	0	4	0	21	0	1	17	50	3	0	33	0	11	0	11	6	0	1	5	7	20	12	15	111	0	29	65	1	0	127	0	22	3	16	1	23	4	114	0	23	42	35	0	7	64	0	1	0	14	0	0	0	1	20	0	6	6	0	0	16	0	21	0	0	37	10	1	1	2	64	0	0	0	0	0	0	0	10	23	13	38	0	0	4032	2906	18	25	60	1	22	0	224	20	13	6	15	46	0	0	0	58	1	20	79	24	20	514	0	33	41	163	83	111	8	0	0	11	338	32	10	0	0	0	1	77	1	6	0	0	7	0	164	128	3	0	5	352	2	0	24	0	12	34
OTU_37	212	16	23	0	0	2	0	19	3	17	34	15	1	101	11	66	14	1	0	10	10	46	198	1	1	60	7	0	0	2	10	0	0	9	3	48	10	1	0	16	28	0	0	27	2	12	0	0	1	0	2	8	213	12	28	299	0	1	1	0	4	0	6	1905	9	1288	115	260	1	10	46	12	14	126	8	0	77	16	19	22	1	1025	379	0	0	34	84	0	0	130	0	0	19	2	116	4	0	4	0	28	4	62	550	1	148	1	863	23	551	121	1349	299	8	25	122	142	491	442	48	68	109	180	78	698	0	78	242	19	547	916	467	31	445	0	47	103	36	2	8	165	53	10	11	29	412	35	24	154	1	49	5	90	80	66	11	219	49	46	158	331	65	72	8	45	36	14	24	33	52	85	102	14	11	12	7	20	129	287	250	148	128	8	2	30	18	175	26	10	231	6	16	207	6	17	41	46	604	641	517	11	1081	4	246	175	200	845	31	1104	717	1	136	183	241	713	95	9	39	20	16	30	426	48	3	8	36	198	402	34	691	29	344	25	3	21	36	8	29	18	33	50	723	123	38	61	494	14	672	5	16	10	70	39	359	12	160	30	6	20	478	49	26	186	8	11	14	39	0	20	46	194	4	347	15	8
OTU_513	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	41	0	1	0	12	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	54	0	0	3	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	9	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	8	0	4	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
OTU_81	0	0	0	1	0	596	0	0	0	0	0	0	0	0	0	0	0	0	17	13	0	0	1	0	21	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	2	1	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	44	2	112	0	10	0	0	48	1	518	0	0	2249	1	0	0	0	1	0	0	0	2	0	0	0	12	0	8	429	0	1020	0	0	0	130	0	0	8	12	0	0	0	0	20	0	0	0	0	0	0	56	0	4	0	10	0	27	13	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	19	7	0	0	0	0	1	0	0	54	234	1	0	0	0	2	2370	253	0	10	0	52	1	0	0	1	0	12	0	263	2170	0	86	1	0	133	0	0	0	0	1	0	21	0	0	0	5	0	10	0	34	0	130	1	3	0	0	0	0	6	0	1	0	0	0	2	169	0	1	0	1	0	0	499	0	1	0	64	0	8
OTU_369	0	0	0	0	5	1	11	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16	1	3	0	11	5	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	40	0	90	57	2	19	1	0	15	0	1	0	0	12	0	0	1	42	0	0	0	48	0	11	8	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	9	0	4	0	0	0	0	0	0	0	0	0	15	0	0	2	0	0	10	0	0	0	0	0	0	0	0	10	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19	0	0	0	0	0	0	0	0	307	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13642	604	7464	3	5	1	6	1	4	20876	2	12	3	4	3	2	28684	1	5005	0	113	2	1	0	2	22	144	4	1	4	2	0	2	2	0	5	0	216	2	4	2	2	4	1	1	2	1	6	2	2	87	6	2	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	21	122	0	0	0	1	0	0	0	0	49	0	0	277	3	0	0	121	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	18	0	42	0	689	0	7	0	54	0	0	0	0	0	0	0	0	0	0	0	0	1570	6	16214	152	114	2	0	661	1	0	14664	159	0	0	34	3	0	0	16	24	25	1	1	120	19	311	0	2	0	0	6	1972	0	2	0	7	0	1	419	3	1404	2	869	0	8624	1	1	108	6	8	1	2	54	102	2	1	1186	1068	29	1	976	1	5	0	13	0	61	0	10	777	0	526	13	661	1	1	0	1	0	0
OTU_201	227	0	41	0	0	0	0	1	0	89	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	61	3	55	7	0	0	0	73	3	0	0	0	128	0	0	2	0	15	0	0	110	1570	0	0	273	0	0	0	0	0	0	263	0	0	0	0	1617	0	0	0	0	3	0	3	0	0	0	241	0	0	153	18	0	33	0	16	103	1	0	0	0	2	717	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	64	184	1727	2	0	10	0	10	0	1	113	0	0	12	1	89	0	0	0	59	0	99	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	122	0	0	0	0	0	0	0	0	1	0	10	1	0	622	0	0	1	10	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU_71	0	0	0	0	0	0	0	1	0	0	227	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	0	831	2603	237	296	0	0	276	67	313	0	0	0	255	851	249	17	1	10	0	0	2089	321	2023	5	164	2	0	0	13	0	1	86	516	1	0	1	66	0	0	233	0	1	1	148	0	6	2	29	0	2	40	136	5	55	171	5	9	3	2	1	0	49	12	0	2	0	0	0	0	298	2	3	0	0	1	0	0	0	1	0	1	0	1	1	0	0	2	116	579	333	1794	1	72	0	272	5	0	414	0	0	2472	0	0	26	1	522	33	1	0	1	0	1	0	18	0	0	0	19	104	0	90	0	0	0	0	0	126	0	0	0	1	0	1048	2	6	4	71	0	0	0	0	1	105	30	0	0	21	0	1	0	830	0	0	29	2	2	1	55	1	0	1	0	0	0	0	0
OTU_1008	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
